Equipo;Descripción;Barra;Celda;Fila;Resumen;Gabinete;FU1;FU2;FA1
RL30S101;CICLO- DESCARGA PPAL DE BOMBA RL 02;3 CA;1;B;380V -3CA-1B;HA15;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
RL30S102;CICLO- BY-PASS DESC DE BOMBA RL 02;3 CA;1;C;380V -3CA-1C;HA15;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
RL31S101;CICLO-RECIRCULACION DE BOMBA RL 02;3 CA;1;D;380V -3CA-1D;HA15;Diazed DII E27 - X3;Termica Unipolar C6;Rele Termico - Elektropristroj
RL32S101;CICLO-AGUA PARA ATEMPERACION RECALENTADO;3 CA;1;E;380V -3CA-1E;HA15;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
RN02S101;CICLO TERMICO- CONDENSADO DE C.B.P N°1;3 CA;1;F;380V -3CA-1F;;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
RL02W001;CICLO- CALENTAMIENTO MOTOR RL 02;3 CA;1;G;380V -3CA-1G;HA16;Diazed DII E27 - X2;Termica Unipolar C4;Rele Termico - Elektropristroj
RL02W002;CICLO- CALENTAMIENTO MOTOR RL 02;3 CA;1;H;380V -3CA-1H;;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
VG45S101;CICLO- AGUA REFRIGERACION MOTOR DE RL 02;3 CA;1;J;380V -3CA-1J;HA15;;;Termica Bipolar C0,5
VG40S101;CICLO- AGUA REFRIGERACION COJ RL 02;3 CA;1;K;380V -3CA-1K;HA15;;;Termica Bipolar C0,5
RV30S101;CICLO- AGUA DE SELLO DE RL 11;3 CA;1;L;380V -3CA-1L;HA15;;;Termica Bipolar C1,6
RM20W001;CICLO- CALENTAMIENTO MOTOR RM 20;3 CA;2;A;380V -3CA -2A;HA20;Diazed DII E27 - X2;Termica Unipolar C4;
RM30S101;CICLO- DESCARGA CONDENSADO BOMBA RM 20;3 CA;2;B;380V -3CA -2B;HA20;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
RM01W001;CICLO- CALENTAMIENTO MOTOR RM 01;3 CA;2;D;380V -3CA -2D;HA20;Diazed DII E27 - X2;Termica Unipolar C4;
RM10S101;CICLO- DESCARGA CONDENSADO BOMBA RM 01;3 CA;2;E;380V -3CA -2E;HA20;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
RM01S101;CICLO- SUCCION CONDENSADO BOMBA RM 01;3 CA;2;F;380V -3CA -2F;HA20;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
RJ22S101;CICLO- ASPIRACION DE BOMBA RM 01;3 CA;2;H;380V -3CA -2H;HA20;Diazed DII E27 - X3;Termica Unipolar C6;Rele Termico - Elektropristroj
VG24S101;CICLO- REFRIGERACION DE COJ. RM20;3 CA;2;J;380V -3CA -2J;HA20;;;Termica Bipolar C0,5
VG27S101;CICLO- REFRIGERACION DE COJ RM 01;3 CA;2;K;380V -3CA -2K;HA20;;;Termica Bipolar C0,5
SG50M101;CICLO- VENTILADOR ESCAPE DE SELLO N°1;3 CA;3;B;380V -3CA -3B;HA21;Secc. - - 80A;Termica Unipolar C4;Rele Termico - Elektropristroj
SG50S102;CICLO- ASPIRACION VENTILADOR N°1;3 CA;3;C;380V -3CA -3C;HA21;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
RM32S101;CICLO- ENTRADA CONDENSADO A C.V.E;3 CA;3;D;380V -3CA -3D;HA21;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
RM36S101;CICLO- SALIDA CONDENSADO  EYEC.V N°1;3 CA;3;F;380V -3CA -3F;HA20;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
RM34S101;CICLO- ENTRADA CONDENSADO EYEC.V N°1;3 CA;3;G;380V -3CA -3G;HA20;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
RN85S101;CICLO- DRENAJE CONDENSADO EYEC.V N°1;3 CA;3;H;380V -3CA -3H;HA21;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
